"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:29:42 GMT 2024","Wed Jul 17 17:29:43 GMT 2024","1069","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Wed Jul 17 17:29:37 GMT 2024","Wed Jul 17 17:29:40 GMT 2024","2536","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
